Place,State,Ideal Time to Visit,Ideal duration,Starting Budget,Main Attraction,About,Top Places to Visit
Kolkata,West Bengal    India,Oct-Mar,2-4 days," ₹ 8,375"," ""The city of Joy"" "," Kolkata, India's second biggest city, is a perpetually ongoing festival of human existence, concurrently luxurious and squalid, refined and frantic, pointedly futuristic, while beautifully in decay. A vibrant 350-year-old metropolis located on India's Eastern Coast, the capital of West Bengal thrives on contradictions and imposing spectacles; nothing is commonplace in this city. Famously known as the City of Joy, Kolkata is, in every sense, the artistic, cultural and intellectual capital of the country. Kolkata's streets are vivid, hectic, chaotic, and yet, brimming with life and creativity. Driven by the indomitable spirit of the self-made middle class, the city has created a beautiful juxtaposition of the old colonial-era charm with the nascent upcoming hipster culture that thrives amongst the city's millennial residents. Starting from admiring the flourishing art scene in the city to going on rewarding gastronomical explorations to wandering amidst the countless bazaars to sitting by the banks of the Hooghly and enjoying a peaceful sunset, Kolkata is soaked in layers and layers of heritage and culture, and peeling off each layer to look beneath the hood is a very rewarding, once-in-a-lifetime experience. As the famous quote goes, ""If you want a city with a soul, come to Calcutta"".Formerly the capital of the British empire before the government was shifted to Delhi, Kolkata has a distinct tinge of its royal past lingering in every nook and cranny of the city. If you want to soak in some of the city's regal past, take a walk along the streets of North Kolkata, which houses some of the oldest mansions in the city, swathed with vines and a persistent sense of aristocratic pride. Kolkata is home to Rabindranath Tagore's ancestral house, which has now been converted into a museum and houses a staggering collection of family portraits and paintings. There are plenty of ghats all over the city where you can sit and enjoy a sunset while sipping on tea, one of the most noted of these being the Prinsep Ghat, which offers stunning views of the Vidyasagar Setu in the backdrop. Close by is Millennium Park, which is a beautified waterfront park from where you can avail boat rides and cruises.Kolkata has a very lively nightlife, and the entire stretch along Park Street houses innumerable bars and pubs where you can party the night away. Kolkata's street food is famous all across the country, and the city is lined with eateries and food stalls at every corner, where you can savour local Bengali food, or try out local snacks such as Jhalmuri, or Ghugni Chaat.","Victoria Memorial, Fort William Kolkata, Belur Math, Howrah Bridge, Birla Planetarium, Indian Museum"
Amritsar,Punjab    India,October - March,2-3 days," ₹ 11,499"," ""Gateway to Punjab - home to Golden Temple"" "," Home of the glorious Golden Temple, the iconic city of Amritsar, portrays the heroic character of the Punjab. A day in this peaceful city starts with the spiritual prayers from Gurudwaras. The original name of first the ancient lake, then of the temple complex, and later the surrounding city, meaning ""pool of ambrosial nectar."" Amritsar is the spiritual and cultural centre of the Sikh Religion. Baisakhi festival brings out Amritsar's resplendent face with its finest food, clothes and merry-making. This place is also famous for its Jallianwala Bagh massacre and its proximity to Wagah Border. The satiating food and generous dollops of legendary Punjabi hospitality further connive to cast a spell upon the visitor. From the Operation Blue Star in the Golden Temple to the tragedy of the Jallianwala Bagh massacre, Amritsar has seen the worst of situations and yet emerged like a phoenix through testing times. Amritsar today is a thriving city with active trade and tourism industries. One of the most agriculturally productive cities of India, Amritsar is well connected with most of the important cities of India.","Golden Temple, Wagah Border, Jallianwala Bagh, Guru Ke Mahal, Hall Bazaar Amritsar, Maharaja Ranjit Singh Museum"
Nainital,Uttarakhand    India,Throughout the year,2-3 days," ₹ 6,999"," ""City of Lakes"" "," The gem of Uttarakhand - Nainital is a charming hill station that sits prettily at the green foothills of the Kumaon ranges in the Himalayas. Located at an elevation of around 1938 metres, Nainital is located and developed around the beautiful Naini Lake, after which the town is named. The most visited hill station in North India, Nainital is a perfect weekend getaway from the Indian capital of Delhi and the nearby places. Founded by the British due to its resemblance to the Cumbrian Lake District, Nainital brims with elegant colonial structures that amplify the beauty of this place. It experiences a pleasant climate throughout the year, making Nainital a tourist getaway, especially preferred by families and honeymooners. The Naini Lake, along with the other lakes in the area, has earned this town the title of ‘City of Lakes’. The most popular activity for tourists visiting Nainital is boating the in Naini Lake, while few others visit for trekking in the surrounding mountain regions.Whether you want to go boating on the beautiful Naini Lake, relish some local delicacies, shop at the Tibetan Market and Mall Road, or take a ropeway ride to soak in the beauty of the Himalayas from Snow View Point, Nainital is sure to leave an imprint on you that will last a lifetime.","Naini Lake, Eco Cave Gardens, Mall Road Nainital, Naina Devi Temple, Snow View Point, Nainital Ropeway"
Ooty,Tamil Nadu    India,October - June,2-3 days, ₹ 425," ""Queen of the Nilgiris"" "," Nestled amidst Nilgiri hills, Ooty, also known as Udagamandalam, is a hill station in Tamil Nadu which serves as a top-rated tourist destination. Once regarded as the summer headquarters of the East India Company, the Queen of the hills is a picturesque getaway. Dotted with tea gardens, serene waterfalls, winding country lanes, and charming colonial architecture, Ooty is the perfect respite everyone. Popular among couples and honeymooners, Ooty allures its visitors with the panoramic views of the Nilgiri mountains. The Nilgiri mountain railway is the steepest track in all of Asia. Remember the hit song 'Chaiyya Chaiyya' where Shahrukh Khan and Malaika Arora matching steps on top of a train? Remember the breathtaking locales as the train chugged its way across lush greenery? Yes, that was the Nilgiri Mountain Railways, and the Nilgiri Mountains all along.","Nilgiri Mountain Railway, Ooty Lake, Emerald Lake, Ooty, Ooty Botanical Gardens, Ooty Rose Garden, Avalanche Lake"
Hyderabad,Andhra Pradesh    India,Sep-Mar,2-4 days," ₹ 15,000"," ""The City of Nizams"" "," A city of contrasts, Hyderabad exudes an old-world charm of its own with the Old City (Charminar side), Hitech City (Cyberabad) and the other areas lying between the old and the new. The capital and the largest city of Telanaga, Hyderabad is home to stately mosques and noisy bazaars lined parallelly alongside swanky new office buildings and malls, and it is these very contrasts – these glimpses into the city’s rich past with inherent promises of an even better future –that make Hyderabad a city worth visiting. Maybe even more than once. The city of pearls and biryani, Hyderabad is home to one of the most iconic landmarks - the Charminar. Translating to 'four minarets', the grand edifice is built entirely out of limestone and granite, with four minarets on four sides, each of them facing a different street. The Charminar stands in a labyrinth of lanes crammed with shops, markets, stalls and shoppers - one of the best places to shop for the authentic pearls and relish the tasty biryanis, skewer kebabs and haleem (the smorgasbord of food that Hyderabad is known for).  The other side of Hyderabad - HiTech City or Cyberabad - is a stark contrast to the Old City. The area teems with grand malls, pulsating clubs, sleek restaurants and hi-rise buildings of the every-growing multinationals. Between the old and new lie the popular city areas of Banjara Hills and Jubilee Hills flanked on the northeast by Secunderabad. Hyderabad and Secunderabad together are still referred to as the ""twin cities"", though they are practically one now. Hyderabad pulsates with a spectacular mix of people and traditions. Make a journey through this mind-stirring metropolis and be ready to be amazed, frustrated, confounded and thrilled, all at once!","Charminar, Ramoji Film City, Golconda Fort, Hussain Sagar Lake, Salar Jung Museum, Purani Haveli"
Mussoorie,Uttarakhand    India,Sep-Jun,2-3 days," ₹ 8,499"," ""The queen of hill-stations"" "," Mussoorie is one of the most popular hill stations located at a distance of 290 km from Delhi in Dehradun district of Uttarakhand. With a backdrop of Shivalik range of Himalayas and doon valley, Mussoorie, also known as Queen of The Hills, stands at an altitude of 7000 feet above sea level and has a cool, pleasant climate throughout the year. Once the British summer capital, Mussoorie is a popular getaway for honeymooners and families. The fact that it was a popular holiday destination during the British era can be seen from British remnants in the city, such as the archaic architecture of the hotels and churches. One of the most popular tourist attractions in Mussoorie is The Mall (also known as the Mall Road), which is a slightly steep boulevard with eateries and other shops lining its entire stretch. From the little houses spread around the area to the architecture of even the lamp posts, The Mall gives off a distinct colonial vibe.Another major highlight of Mussoorie is the Ropeway to Gun Hill. Gun Hill is the second highest peak in Mussoorie, and tourists can avail of the cable car ropeway ride to Gun Hill, which offers an enchanting view of the entire city as well as the surrounding Himalayan mountains.The adjoining little hill station of Landour, along with Mussoorie, Barlowganj and Jharipani together form the greater Mussoorie. Affording a mind-stirring view of the snow-dusted Himalayas, Mussoorie beckons trekkers, climbers and adventure sports enthusiasts.","Lal Tibba, Gun Hill, Lake Mist, Kempty Falls, Cloud's End, Dhanaulti"
Pondicherry,Union Territory    India,Oct-Mar,2-3 days," ₹ 6,768"," ""The French Riviera of the East"" "," Pondicherry, officially known as Puducherry, and commonly referred to as just Pondy, is one of the seven Union Territories of India which is bounded by the southern state of Tamil Nadu. This former French colony is a perfect amalgamation of the traditional Indian sensibilities and French architecture, making it a dreamy escape that offers the best of both worlds. The streets of the French Quarter of Pondicherry, also known as White Town, are dotted with charming mustard-yellow colonial structures with bougainvillaea laden walls. These are interspersed with cosy cafes and chic boutiques that offer delectable French cuisine and beverages. Simply strolling down these streets, can give the traveller an insight into the fairytale charm of Pondicherry.Topped with authentic French bakeries, bohemian stores and cobble-stoned paths that are delightful for a leisurely stroll or a bicycle ride, Pondicherry has a lot to offer. So head on down to this dream town of the Indian Coast and chug a few beers (at the Union Territory prices; bid adieu to state taxes) or just read a book in one of the quaint cafes.Come explore the boulevards and rues (the French word for streets) of Pondicherry that will ultimately take you down to the gorgeous seaside promenade, and witness the Bay of Bengal playfully splashing the shores of the famous Rock beach.","Paradise Beach, Pondicherry, Aurobindo Ashram, Auroville, Scuba Diving in Pondicherry, Arikamedu, Cafes in Pondicherry"
Khajuraho,Madhya Pradesh    India,Jul-Mar,1-2 days, 85 ," ""The Architectural Masterpiece"" "," Khajuraho, a UNESCO World Heritage Site located in Madhya Pradesh, is known around the world for its stunning temples adorned by erotic and sensuous carvings. A small town located in the Bundelkhand region, Khajuraho is a brilliant example of Indian architecture and its culture back in the medieval period. The architecture of these Hindu and Jain temples depict the erotic forms of love, the carvings on the walls display passion in the most sensuous yet aesthetic ways. Built between 950 to 1050 AD the sheer confrontational nature of these carvings shows a stark paradox with the conventional Indian ideals about eroticism, leaving everybody spellbound. Art in this small town is engrained in all of its structures and are a classic example of the finesse of India's cultural and artistic heritage. The best part about Khajuraho is that although scores of plunderers tried to destroy the whole complex, they could never succeed, even though they managed to reduce the number of temples and caves to 25 from a staggering 85 at the time it was created.","Light and Sound Show, Khajuraho, Dulhadev Temple, Kandariya Mahadev Temple, Lakshman Temple, Parsvanath temple, Vishwanath Temple, Khajuraho"
Chennai,Tamil Nadu    India,Oct-Mar,2-3 days, ₹ 400," ""The Detroit of India"" "," Formerly known as Madras, Chennai is the capital city of the state of Tamil Nadu, in the southern part of India. Located on the Coromandel coast of Bay of Bengal, Chennai is as dynamic as it is immersed in tradition. This 'capital of the south', is one among the four metropolitan siblings of India, having a rich cultural history which it perfectly balances with its metropolis lifestyle. Amid its chaos of traffic and sweltering humid climate, Chennai is worth visiting for its temples steeped in south-Indian culture, British-era museums and monuments, culinary delights and Marina Beach (Second largest urban beach in the world). Chennai's skyline is famous for its towering skyscrapers, but the heart of Chennai has an old-world charm to it that refuses to be overshadowed. ","Marina Beach, Government Museum, Chennai, MGR Film City, Breezy Beach, Marundeeswarar Temple, Arignar Anna Zoological Park"
Vaishno Devi,Jammu & Kashmir    India,Throughout the year,1 day," ₹ 4,216"," ""The Holy Caves"" "," Located in Trikuta hills, 13 kms from Katra (in Jammu and Kashmir); Vaishno Devi is a town that's home to the famous Vaishno Devi Mandir. This renowned shrine allures millions of devotees from all over the world. Popularly known as Mata Rani, Vaishnavi and Trikuta, Vaishno Devi is a manifestation of the Hindu Goddess Durga. It is believed that during the pooja and aarti, Goddesses arrive at the Holy cave to pay their respect to Mata Rani. Devotees believe goddess herself calls the devotees to reach here.  Vaishno Devi is said to be Moonh Maangi Muradein Poori Karne Wali Mata (the mother who fulfils the wishes of her children). The Devotees believe goddess herself calls them to reach here. The darshan of Maa Vaishno Devi in the holy cave is in the form of three naturally formed rocks which are known as pindies. These pindies manifest the three forms of the goddess as Maha Kali, Maha Saraswati and Maha Lakshmi.Vaishno Devi is a religious trekking destination which is managed by the Holy shrine board incepted in 1986. To reach the mandir, pilgrims walk about 13km uphill to reach the caves which are among one of the 108 Shakti Peetha. It takes about 6-9 hours depending on the weather and pace. Ponies and Palanquins, as well as helicopter services, are available by various vendors to take you up there. The whole way is decently paved with lots of shops selling snacks, food and religious goods. More than one crore devotees visit Vaishno Devi temple each year.","Vaishno Devi Mandir, Ardhkuwari, Bhairavnath Temple Vaishno Devi, Katra, Dera Baba Banda, Shopping in Vaishno Devi"
Dalhousie,Himachal Pradesh    India,Throughout the year,2-3 days," ₹ 6,500"," ""Little Switzerland of India"" "," The tiny tinsel town of Dalhousie is a paradise tucked away in the lap of Himachal Pradesh. It boasts of old-world charm, mesmerising natural landscapes, pine-clad valleys, flower-bedecked meadows, fast-flowing rivers and magnificent misty mountains. This hill station was one of the favourite summer destinations of the Britishers during the Indian colonial era. The Scottish and Victorian architecture reminds you of its colonial heritage while the wispy air continues to hone British aromas. Situated far from the buzzing cities in the country, this quaint town transports you to a pollution-free environment in the lap of nature. Dalhousie has a number mountains and river streams that tourists must visit. Among them, the most famous are Panch Pulla, Satdhara Falls and the Daikund peak.","Panchpula, Khajjiar, St. John's Church Dalhousie, Kalatop Khajjiar Sanctuary, Dainkund Peak, Satdhara Falls"
Ajanta and Ellora Caves,Maharashtra    India,Jun-Mar,1-2 days, 4 ," ""World Heritage Ancient Rock-Cut Caves"" "," Ajanta and Ellora caves, considered to be one of the finest examples of ancient rock-cut caves are located near Aurangabad in the state of Maharashtra, India. Adorned with beautiful sculptures, paintings and frescoes, Ajanta and Ellora caves are an amalgamation of Buddhist, Jain and Hindu monuments as the complex includes both Buddhist monasteries as well as Hindu and Jain temples. The Ajanta caves are 29 in number and were built in the period between 2nd century BC and 6th century AD whereas the Ellora Caves are more spread out and 34 in number and dates to the period between 6th and 11th Century AD. Ajanta and Ellora caves are designated as UNESCO World Heritage Sites and are quite popular among travellers from all over the world. Ajanta Caves, located around 99km north of Aurangabad are mostly Buddhist sites and were used as a retreat by Buddhist Monks. Ellora is just  15 km west of Aurangabad and have a better mix of Hindu, Jain and Buddhist sites. These hand-carved caves were built and sponsored by the Indian rulers of those periods and are almost buried by thick forests all around. One of the most famous sites in the entire Ajanta and Ellora Caves is the Kailash Temple, which is also the single largest monolithic structure in the world. These rock-cut caves containing carvings are some of the best examples of ancient Indian architecture and sculpture.","Ajanta Caves, Grishneshwar Temple, Ellora, The Buddhist Caves, Ellora, Bibi Ka Makbara, Aurangabad, Jain Caves, Ellora, Khuldabad"
Haridwar,Uttarakhand    India,October - February,1-2 days," ₹ 4,100"," ""Gateway to God"" "," Haridwar, considered to be among the seven holiest cities in India, is an ancient city located on the banks of River Ganga in the Garhwal region of Uttarakhand. Dotted with temples, ashrams and narrow lanes across the city, Haridwar is a famous Hindu temple town where millions of devotees come to take a dip in the holy Ganges. It's believed that taking a dip in the holy Har Ki Pauri relieves you of all your sins. Every evening, Haridwar is witness to a set of rituals for the famous Ganga Aarti at the Ghats (River Banks) where thousands of devotees come together to pray to the river. Once in every twelve years, Haridwar is host to the mega-gathering during the world famous Kumbh Mela which sees millions of visitors from all over the country. Along with Prayagraj, Nashik and Ujjain, Haridwar is one of the only four cities in India which can host the Kumbh Mela.Haridwar also acts as the base destination for some of the other tourist towns of Rishikesh and Devprayag as Hardwar is well connected by trains and roads. Apart from the religious angle, Haridwar is also now developing as a multifaceted cultural and spiritual centre. It's also known for its food and some of the must-try dishes include kachoris at Kashyap Kachoriwala and the aloo puri at Mohanji Puriwale. ","Ganga Aarti in Haridwar, Har Ki Pauri, Chandi Devi Temple, Chilla Wildlife Sanctuary, Mansa Devi Temple, Haridwar, Bharat Mata Mandir Haridwar"
Kanyakumari,Tamil Nadu    India,Oct-Feb,1-2 days," ₹ 6,768"," ""Cape Comorin or The Land's End"" "," Bordered by the three seas - Arabian, Indian and the Bay of Bengal, Kanyakumari is the southernmost tip of Indian Peninsula. A small coastal town in the state of Tamil Nadu, Kanyakumari was earlier known as Cape Comorin. The town is a mountainous terrain amid three seas, with elevated patches of hills, coconut trees and lined with paddy fields. Kanyakumari is also the only place in India where you can observe the sunrise and sunset at the same beach.  The town is not only popular for its unique phenomenon but also its beaches, temples, iconic monuments that attract a huge number of tourists throughout the year. The Kanyakumari Temple, Vivekananda Rock Memorial, Statue of the Poet Thiruvalluvar, the Padmanabhapuram Palace, the Vattakottai Fort, and the Gandhi Memorial are few of the most important sites in Kanyakumari. Waterfalls in Kanyakumari that you should not miss out on include the Thirparappu falls, the Courtallam Falls, and the Olakaruvi falls. Kanyakumari has an authentic South Indian cuisine, with seafood and coconuts being an integral part of almost all dishes. While Kanyakumari is not a traditional shopping destination, you can buy plenty of souvenirs and curios from the numerous stalls and boutiques dotting the beachfront, with decorative seashell trinkets being a must-buy.","Thirparappu Falls, Kanyakumari Beach, Vivekananda Rock Memorial, Thanumalayan Temple - Sthanumalayan Kovil, Thiruvalluvar Statue, Kumari Amman Temple"
Mcleodganj,Himachal Pradesh    India,October - June,2-3 days," ₹ 10,000"," ""Land of His Holiness the Dalai Lama - Little Lhasa"" "," Mcleodganj is a hill station near Dharamshala, popular among trekkers. Located in Kangra district, Mcleodganj's culture is a beautiful blend of Tibetan with some British influence. Also known as Little Lhasa and famous around the world for being home to the Tibetan spiritual leader Dalai Lama, Mcleod Ganj is a beautiful town situated near upper Dharamsala. Nestled amidst majestic hills and lush greenery, this town is culturally blessed by a prominent Tibetan influence owing to the major settlement of Tibetans here. Mcleodganj has one of the most mesmerising landscapes in the entire state of Himachal Pradesh and attracts a lot of tourists throughout the year. The towns of Dharamsala, Mcleodganj, Bhagsu Nag and Kangra are situated very close to each other and tourists must cover all these destinations while travelling here. Few of the most eminent and religiously significant monasteries in India are located here, including the Namgyal Monastery and Tsuglagkhang, where the spiritual leader Dalai Lama resides. Tourists must also visit the scenic Dal Lake and Triund, which are apt for quiet picnics.","Bhagsu Falls, Namgyal Monastery, Tsuglagkhang Complex, Triund, Bhagsunag Temple, Trekking in Mcleodganj"
Pune,Maharashtra    India,Jul-Mar,1-3 days, ₹ 150," ""Oxford of the East"" "," Pune is a bustling metropolis of Maharashtra, ranked number one in India in the ease of living. Often referred to as the Oxford of the East, it is a hub of diverse people and activities and is in rapidly growing into one of the top metropolitan cities in the country. Pune is a city that perfectly blends modernity with tradition sprinkled with colonial-era charm, and it deserves the title of being the cultural capital of Maharashtra. Behind the modern commercialized façade of Pune lies the roots of ancient Poona, which gave birth to the Maratha Empire and had a very crucial role to play in the history of India’s independence. Pune is globally known for the Osho Ashram which attracts followers from all over the world. Dotted with palaces and temples, the most important of these are the Shaniwar Wada palace and the Aga Khan Palace. To experience the grandiose of Maratha architecture coupled with stunning views of the Sahyadris, the Singhagad fort is a must-visit tourist attraction. Due to its alluring location on the Bhuleshwar Range of the Sahyadri Mountains, it offers excellent trekking trails to the top of the cliffs. While Pune has plenty of eating options, ranging from street food to high-class restaurants where one can enjoy all kinds of cuisines, it is renowned for its bakery items. Ranging from a variety of cookies, pastries to even cakes, don’t forget to try out Pune’s mouth-watering desserts.","Shaniwar Wada, Aga Khan Palace, Dagdusheth Halwai Ganpati Temple, Osho Ashram, Vetal Tekdi, Lal Mahal"
Kodaikanal,Tamil Nadu    India,October - June,1-2 days, ₹ 234," ""The Princess of Hill Stations"" "," Located in the state of Tamil Nadu, Kodaikanal is one of the most famous honeymoon destinations in India. A Lakeside resort town of Tamil Nadu, Kodaikanal has a beautiful climate, mist-covered manicured cliffs and waterfall that come together to create the ideal setting for a perfect getaway. Kodaikanal means 'the gift of the forests'. Nestled amidst the rolling slopes of the Palani Hills, Kodaikanal stands at an altitude of 7200 feet above sea level, and once you visit this hill station, you will find that every bit of what you have imagined it to be is real. Kodaikanal is a place you can go to take a break from the rigours of daily city life, and this hill station lets you sit back and connect with nature as you head out on biking or trekking trails or take a stroll through the vast forests surrounding the town.","Green Valley View (Suicide Point), Kodai Lake, Bear Shola Falls, Pillar Rocks, Thalaiyar Falls, Devil's Kitchen"
Kochi,Kerala    India,Jul-Apr,1-2 days," ₹ 5,591"," ""Queen of Arabian Sea"" "," Situated on the south-west coast of India, Kochi or Cochin is a bustling commercial port city with a trading history that dates back to at least 600 years. Called as the Queen of the Arabian Sea, the city is the financial, commercial and industrial capital of Kerala. A gaggle of islands interconnected by ferries, this cosmopolitan town has upmarket stores, art galleries and some of the finest heritage accommodations. In a true vintage-meets-future fashion, pubs, restaurants, shopping hubs and futuristic stores crowd Ernakulum, Jew Town and Fort Kochi while palaces, beaches, temples and heritage sites marking their presence too. Kochi is also an important place to see Kathakali and Kalarippayattu performances and annual Biennale Festival.","Mattancherry Palace, Fort Kochi, Jewish Synagogue, Chinese Fishing Nets, Willingdon Island, Veeranpuzha Lake and Backwaters"
Ahmedabad,Gujarat    India,Oct-Mar,1-2 days," ₹ 5,591"," ""Manchester of the East"" "," A rapidly growing metropolis, an industrial hub, an educational hotspot, and a city with a magnificent past – Ahmedabad is one of the most important cities in Gujarat. Located on the banks of the Sabarmati River, Ahmedabad is the former capital of Gujarat, and its delicious food, colourful culture is making it a fast-growing tourist destination. The historic city of Ahmedabad or the old part of the city was declared as the UNESCO World Heritage Site. Home to a plethora of remarkable temples like Swaminarayan Temple, intriguing museums and classy markets, with a little bit of colonial history attached to it, Ahmedabad is an excellent example of how a city can still retain every bit of its old-world charm while still rapidly progressing on the path of globalisation.Ahmedabad is famous for its textiles and its tie-dye bandhani handloom technique, which makes it a great place to shop. From bandhani sarees, dupattas to traditionally embroidered dress materials, and other local handicrafts.Sabarmati Ashram, situated directly beside the Sabarmati river, is a quaint and peaceful ashram built by Mahatma Gandhi after he returned from South Africa. To this date, Gandhiji’s living quarters are preserved here and is now used as a museum where visitors can learn all about his life and his teachings. The infamous Dandi Salt March, which was a crucial point in India’s independence struggle, originated from this ashram.","Swaminarayan Temple, Ahmedabad, Dada Hari Wav, Sabarmati Ashram, Auto World Vintage Car Museum, Kankaria Lake, City Shopping"
Kanha National Park,Madhya Pradesh    India,Oct-Jun,1 day, 32 ," ""The land of Jungle Book"" "," Located in a central region of Madhya Pradesh, Kanha National Park is the largest National Park in central India and has been ranked as one of the best parks in Asia. Among the 22 species of large mammals, the royal Bengal tigers are one of the major attractions. One of the best tiger reserves in India, the present-day area stretches over the 940-kilometre square which is divided into two sanctuaries: Hallon and Banjar.  The park was established in the year 1955 and has since actively contributed to the preservation of many endangered species. The National Park was taken under the Project Tiger Reserve in 1974. Abundant in flora and fauna, the Kanha National Park houses one of the rarest species of deer- the Barasingha. It is known for the unique Barasingha conversation to save the species that were once on the verge of extinction. One of the most scenic wildlife reserves in Asia today, this National Park came to be known the world over through Rudyard Kipling's book- The Jungle Book. Kanha National Park is famous for its wildlife safaris and attracts tourists from all over the world. Other important animals in this park are leopards, wild dogs, wild cats, foxes, sloth bears, hyenas, langurs, wild boars and jackals. Reptiles including pythons, cobras, krait and other varieties of snakes are also found in this National Park. ",
Mysore,Karnataka    India,Throughout the year,1-2 days, ₹ 180," ""Home to the Mysore Maharajas"" "," Famously known as The City of Palaces, it wouldn’t be wrong to say that Mysore, currently Mysuru, is one of the most important places in the country regarding ancient reigns. It is replete with the history of its dazzling royal heritage, intricate architecture, its famed silk sarees, yoga, and sandalwood, to name just a few. Located in the foothills of the Chamundi Hills, Mysore is the third most populated city in Karnataka, and its rich heritage draws millions of tourists all year round. The highlight is the majestic Mysore Palace, a UNESCO World Heritage Site, which is a must-visit. Mysore was one of the three largest Princely States in the erstwhile British Empire of India. To this day, the Mysore Palace stands tall as one of the most spectacular palaces in India. A very famous tourist spot that sees thousands of visitors milling in and around it every day, the Mysore Palace is a mesmerizing example of Indo-Saracenic architecture, every inch of the palace drips with opulence and intricate details, and every room that you visit stands out in terms of its elaborate architecture, beautiful paintings, rich colours and stained-glass windows. On every Sunday, and during the Dussehra celebrations, the palace is spectacularly lit up once dusk falls.Another popular element in Mysore is the Ashtanga School of Yoga. This draws visitors and practitioners from around the world to participate in this style of yoga that originated in Mysore. ","Mysore Palace, Brindavan Gardens, Somanathapura Temple, Mysore Zoo, Chamundeshwari Temple, Shuka Vana"
Chandigarh,Union Territory    India,Aug-Mar,1-2 days," ₹ 10,000"," ""India's first planned city"" "," Chandigarh, a union territory that is the capital of both Punjab as well as Haryana, is India's first planned city. A traditionally Punjabi city at heart with a healthy dose of modernity, Chandigarh's food and gedi culture (a leisure drive or ride the city) is what the capital is really known for. Located at a distance of 265 km from Delhi, Chandigarh is one of the favourite weekend road trip destinations of from the capital city of India and other major cities but also acts an important staging point when one heads to destinations in Himachal Pradesh and Jammu and Kashmir. A favourite activity of the locals at Chandigarh is boating at the beautiful Sukhna Lake. The other important attractions in the city are the Rock Garden, the Leisure Valley & Rose Garden. Chandigarh's Rock Garden is very well known for having been entirely designed out of discarded industrial and urban waste while the Leisure Valley is an 8-kilometre-long well-maintained park which houses Asia's most extensive rose garden, a very popular draw among tourists and locals alike.Another famous place to visit in Chandigarh is the Capitol complex, which is also often referred to as Le Corbusier Centre. Earlier used as Le Corbusier's base, this UNESCO World Heritage Site has now been converted into a museum, and tourists are free to visit it. The Capitol is also home to the state's Vidhan Sabha, High Court, and Secretariat.","Rose Garden, Rock Garden, Sukhna Lake, Pinjore Gardens, Government Museum and Art Gallery, Shanti Kunj, Chandigarh"
Visakhapatnam,Andhra Pradesh    India,Sep-Mar,2-3 days, 148 ," ""A gem of South India"" "," Visakhapatnam, also commonly known as Vizag, is one of the oldest port cities in the country. Situated in the heart of Andhra Pradesh, Visakhapatnam is known for its picturesque beaches and serene landscape, as well as a rich cultural past. The port of Visakhapatnam is renowned for being home to the oldest shipyard in all of India. Located a short distance away from Visakhapatnam is Araku Valley, one of the prime attractions of Vizag. Situated at a lofty 910 metres above sea level, Araku Valley is a hill station replete with gushing waterfalls, crystal clear streams, lush green gardens and some challenging trekking trails. Vizag is dotted with many beaches along its coastline, with the most famous one being the Yarada Beach. One of the most stunning places to see in all of Visakhapatnam, Yarada beach is surrounded by majestic hills on three sides, and by the Bay of Bengal on the other side. One of the best things about Vizag’s beaches is that they are a lot cleaner and a lot less crowded than other famous beaches along the Indian coastline, and Yarada beach is no exception. It is the perfect place to sit back on the golden sands and witness a marvellous sunrise or sunset. If you’re a history lover, the Borra Caves are one of the best tourist attractions that Vizag has to offer for you. Nestled amidst the Ananthagiri Hills in Araku Valley, the Borra Caves are over thousands of years old and are the biggest among all the caves found in India. Made entirely of natural karstic limestone, the caves are kaleidoscopic in nature, and the light falling on the rocks coupled with the waterfalls creates an extremely colourful effect, lending an aura of magic and mysticism to the entire ambience. The Katiki Waterfalls, situated a short distance away from the Borra Caves, is a gushing waterfall that measures around 50 feet in height and is completely surrounded by the lush greenery of the valley. The crystal-clear water cascading down the rocks, bordered by the gleaming green foliage is a sight for sore eyes. Being a coastal area, the primary cuisine of Visakhapatnam includes seafood, as well as traditional Andhra South Indian cuisine.  While Visakhapatnam is not exactly renowned for being a shopping destination, you will still find a lot of things that you can take back home. You can purchase a wide variety of stuff starting from handicrafts to Kalamkari paintings to wooden toys to even gorgeous Pochampalli and Ikat sarees.","Kailasagiri, Katiki Waterfalls, Kambalakonda Wildlife Sanctuary, Borra Caves, Dolphin's Nose, Rishikonda Beach"
Lonavala,Maharashtra    India,Throughout the year,1-2 days, ₹ 570," ""Misty Weekend Getaway"" "," Situated in the Sahyadri range of the Western Ghats close to Pune and Mumbai, Lonavala is the most visited hill station in Maharashtra and the place to be during monsoons. With lots of waterfalls, lakes and hills around, it is a popular destination for camping, trekking and other adventure sports. Lonavala offers an alluring and bewitching experience of nature's most gifted region. Surrounded by dense forests, waterfalls, and dam alongside lakes, it is a must-visit if you admire nature. Located at an elevation of 624 m above sea level, Lonavala is one of the twin hill stations - Lonavala and Khandala. The popular tourist attractions in Lonavala are Bhaja caves, Bushi dam, Karla caves, Rajmachi fort, Ryewood lake, among others.Lonavala is famous for its production of the hard candy chikki which is a sweet eatable thing made from different nuts mixed with jaggery. It is also a major stop on the railway line which connects Mumbai and Pune.","Tiger's Leap, Rajmachi Fort, Imagicaa, Aamby Valley, Lonavala Lake, Karla Caves"
