Destination	Place	Rating	Description
Kolkata	Sonajhuri Forest	3.3	Away from the mell pell of the city lies a hidden gem in the state of West Bengal. Considered to be one of the most clean forests in India, Sonajhuri Forest is a great retreat to be close to nature. The Sonajhuri Forest is replete with lush green trees that has blooming flowers. This place is picturesque with quite a number of mesmerizing places to see and explore.
Kolkata	St John's Church	3.3	St John's Church is one of the oldest churches in Kolkata that was built during the reign of the British Kingdom when the city was the capital of British India. It is a splendidly well-maintained structure that draws history and architecture buffs for its uniqueness and ancient features.
Kolkata	Barrackpore	3.3	Barrackpore was the first place where Britishers set up their cantonment and later spread their rules in India. This place is of great historical significance as it was also the first place where the spark to attain I from Britishers was lit. Not to stop at that, this place is also home to some of the most mesmerizing and green parks which are perfect to spend some time lazing around? and relaxing.
Kolkata	Jhargram	3.3	Jhargram is small city located in the state of West Bengal with a rich historical and cultural background. Surrounded by dense forests this place is mystical. A perfect place to spend few days in the lap of nature surrounded by friendly tribal population, you are bound to be mesmerized not only by its picturesque beauty but by the gregarious people who inhabit this place.
Kolkata	Baabur Haat	3.3	Dominated by natural fishing lakes or bheris, responsible for producing some of the tastiest fish in West Bengal, Babur Haat is a nature paradise. Fishing is one of the more popular activities here. You can also go on a short picnic trip to the nearby local village grounds.
Kolkata	Kamarpukur	3.3	A cluster of small villages, Kamarpukur is nestled between Vishnupur and Tarakeshwar. Birthplace of a pious and sagacious saint, Sri Ramkrishna Paramhansa, this village is perfect getaway from the pell-mell of the cities. In this village you will be able to enjoy the pleasures of simple rural life.
Kolkata	Deulti	3.3	Situated on the bank of river Roopnarayan, Deulti provides for an ideal picnic spot. If you are a bird lover, keep an eye (read ear) for the chirps of different birds, while you take a walk on the clay paths of the villages.
Kolkata	Hooghly Riverfront	3.3	The very picturesque Hooghly Riverfront is situated along two banks of River Hooghly in West Bengal- Kolkata in the East and Howrah on the West. The mighty river offers mesmerising sunrise and sunset views. After the beautification of the East promenade in 2011, the spot has become a major tourist attraction.
Kolkata	Maidan	3.3	Also known as the Brigade Parade Ground, Maidan is the largest urban park in Kolkata. The humongous stretch of land includes the famous Eden Gardens, several football stadiums and the Race Course Kolkata.
Kolkata	Central Park	3.3	Also known as Banabitan, Central Park is the second largest urban park after Maidan, situated in Bidhannagar, Kolkata. Built around an expansive lake, the park also has a rose garden. Another attraction is its beautiful butterfly garden.
Kolkata	Millenium Park	3.3	Spread over an area of 2.5 kms on the banks of River Hooghly in Kolkata, Millenium Park is a privately owned park situated on the Strand Road. The park has beautiful landscaped gardens and numerous slides and swings for kids.
Amritsar	Golden Temple	4.5	One of the most spiritual places in India, the Golden Temple, also known as Sri Harmandir Sahib, is the holiest shrine in all of Sikhism. Located right in the heart of Amritsar and being easily reachable from any part of the city, the stunning golden architecture of the temple and the daily Langar (community kitchen) attract a large number of visitors and devotees each day. The temple is open to devotees of all faiths and serves over 100,000 people free food from all walks of life
Amritsar	Wagah Border	4.4	Located at a distance of 22 km from Lahore, Pakistan and 28 km from Amritsar in India, the Wagah Border marks the boundaries between Indian and Pakistani borders, running along the Grand Trunk Road. The Wagah Border Ceremony or the Beating Retreat Ceremony, held every day before sunset, is the prime attraction. Every evening, just before sunset, the soldiers from the Indian and Pakistan military meet at this border post to engage in a 30-minute display of military camaraderie and showmanship
Amritsar	Jallianwala Bagh	4.4	Jallianwala Bagh is a place of great historical importance during the Indian struggle for Independence. It is a public garden in Amritsar which houses a memorial of national importance that was established by the government of India in 1951 to commemorate the massacre of peaceful celebrators  by British forces on April 13,1919.
Amritsar	Guru Ke Mahal	3.3	Housing the Granth Sahib and their gurus, Guru Ke Mahal was founded by Guru Ram Das in 1573 as a little cottage that went on to shelter the great gurus of the Sikhs.
Amritsar	Hall Bazaar Amritsar	3.3	"Offering electronic items, ornaments, best quality books, handicrafts and ready-made garments, Hall Bazaar is famous for its Mughal style gate, complete with a giant clock with caption ""Amritsar - Sifti Da Ghar""."
Amritsar	Maharaja Ranjit Singh Museum	3.3	Summer palace turned into museum, Maharaja Ranjit Singh Museum is a lovely building which archives the Royal Heritage of Maharaja Ranjit Singh such as arms and armour, outstanding paintings and century old coins and manuscripts.
Amritsar	Gurudwara Mata Kaulan	3.3	Gurudwara Mata Kaulan is located on the edge of Kaulan reservoir, is named after Kaulan, a believer who was severely punished by the patriarchs, yet it failed to dissuade her.
Amritsar	Gurudwara Bibeksar Sahib	3.3	Bibeksar Sahib lying on the banks of Bibeksar Sarovar was constructed by Maharaja Renjith Singh. The place is famous as the congregation site of followers of 6th Sikh Guru, Hargobind Singh ji.
Amritsar	Partition Museum	3.0	The Partition Museum, the first-ever museum in the entire world to focus on the stories and trauma of the millions who had to suffer from the bloody consequences of a ruthless partition; was recently opened up at Town Hall in Amritsar.
Amritsar	Khair-ud-Din Masjid	3.3	Famous for its architecture, Khair-ud-Din Masjid was established by Mohd. Khairuddin. It was the place from where the great call for waging war against the looting British was announced by Tootie-e-Hind, Shah Attaullah Bukhari.
Amritsar	Dukh Bhanjani Ber Tree	3.3	Dukh Bhanjani Ber Tree which means reliever of pains and afflictions is considered the most sacred tree in Amritsar. This fascinating Tree has an interesting legend, where Bibi Rajani’s leprosy stricken husband was cured completely after taking a dip in the pond near the tree. The tree was then named Dukh Bhanjani which means ‘eradicator of suffering’. Visitors of Golden Temple usually have a dip in this pond in hopes of being cured and blessed. Guru Ram Das told his Sikhs and Baba Budha Ji that the pond was the same holy place of which Guru Amar Das Ji had foretold.  The faith of Bibi Rajni of keeping the belief in Guru and God, resulting in being rewarded at the end, is still followed and looked up to.
Amritsar	Akal Takht	3.3	Akal Takht (Throne of the Immortal) is the highest political institution of the Sikhs, founded by Guru Hargobind in 1606. Akal Takht is located in the front of the causeway leading to the Golden Temple, Amritsar.
Amritsar	Gobindgarh Fort	3.3	Gobindgarh Fort echoes the grand stories of Punjab’s past. Widely known as a symbol of the era when Punjab was forged, it represents a glorious past of 257 years starting with the Bhangi Misl era and ending with the Indian Army
Amritsar	Durgiana Temple	3.3	Durgiana Temple, also known as Lakshmi Narayan Temple, Durga Tirath, Silver Temple and Sitla Mandir, is a Hindu temple bearing a stark resemblance to the Golden Temple.
Amritsar	Goindwal Baoli	3.3	Goindwal Baoli is a step-well, constructed in the 16th century by Guru Amar Das. The Baoli (open-well) is located on the banks of the River Beas and is an important Sikh centre, and is one of the first Sikh pilgrimage sites.
Amritsar	Gurudwara Chheharta Sahib	3.3	Gurudwara Chheharta Sahib, named after a well which was dug by Guru Arjan Dev for the birth of his son. Although the well is now covered up, the water is usually pumped into the main tank of the Gurudwara. The water was so abundant that six Cheheharta (Persian wheels) were installed around the well to draw water faster. The gurudwara’s lotus dome encloses the square sanctum in the middle of the diwan hall.
Amritsar	Gurudwara Bir Baba Budha Sahib	3.3	Gurudwara Bir Baba Budha Sahib, also known as Bir Sahib, is where Baba Budha Ji spent most of his life. Baba Buddha who lived for 125 years has blessed five succeeding Gurus.
Amritsar	Harike Wetland	3.3	Harike Wetland & Bird Sanctuary is the largest wetland in North India. This man-made wetland spreads into Tarn Taran Sahib, Ferozepur and Kapurthala in Punjab, making it a famous destination for bird watchers and nature enthusiasts. Tourists can spot up to 7 species of turtles including the endangered Testudines turtle. The previously extinct Indus dolphin was recently seen at Harike Wetland.
Amritsar	Tarn Taran Sahib	3.3	Gurudwara Shri Tarn Taran Sahib was built by the fifth Guru of Sikhs - Guru Arjan Dev. It is located 22 kms from Amritsar. Gurudwara Shri Tarn Taran Sahib is a three-storeyed building lotus dome, damaged during the 1905 earthquake. The Gurudwara displays elegant craftwork of glass pieces and intricate designs on the ceiling and the inner walls.
Amritsar	Khalsa College	3.3	Khalsa College is a 124-year-old college, making it a historic educational institution in India. The 300-acre campus has acquired the status of the highest Sikh institute for education with an enriching environment and a progressive outlook towards society.
Amritsar	Shri Ram Tirth Temple	3.3	Shri Ram Tirth Temple is the birthplace of Luva - Kusha, twins of Rama and Sita in the Ashram of Saint Balmiki. Built in yellow stone the temple dates back to the Ramayana as Sita was given shelter here after being abandoned by Rama. The battle of the Ram’s force and Luv-Kush
Amritsar	Mata Lal Devi Temple	3.3	Mata Lal Devi Temple popularly known as Sheesh Mahal of Amritsar is famous among the Hindu pilgrims for its miraculous powers. The temple is dedicated to the female saint Lal Devi and is considered a miniature dimension of the popular Vaishno Devi temple in Jammu.
Amritsar	Punjab State War Heroes Memorial and Museum	3.3	Punjab State War Heroes Memorial and Museum showcases the fabulous brave-hearts of Punjab. The Museum immortalizes the bravery of the soldiers of Punjab, displayed throughout the museum with a spirit of patriotism.
Amritsar	Pul Kanjari	3.3	Pul Kanjari, popularly known as Amritsar’s Taj Mahal, is a village based on the vibrant expression of love by Maharaja Ranjit Singh. Constructed for Moran, a Muslim dancer, the town was one the most important trading centres during the 18th century.
Amritsar	Bathinda Fort	3.3	Bathinda Fort or Qila Mubarak is an age old fortress in Bathinda. Built by Raja Dab and King Kushana, the fort is believed to be the exact place where Razia Sultan was confined.and Guru Nanak Dev, Guru Tegh Bahadur and Guru Gobind Singh visited this place. Later, Maharaja Karam Singh built a gurudwara here for the pilgrims
Amritsar	Gurudwara Baba Atal Rai	3.3	Gurudwara Baba Atal Rai is a gurudwara dedicated to Baba Atal Rai, son of Guru Har Gobind Singh who passed away at the young age of nine. The 9 storey building was then built in his memory where each storey was symbolic of a year in Atal Rai’s life.
Amritsar	ISKCON Temple	3.3	Situated in the heart of the city in Moni Chowk, ISKCON Temple (also known as Sri Gaur Radha Krishna Mandir) is a revered Hindu temple dedicated to the Hindu gods Krishna and Radha. The temple houses idols of several deities, Radha- Krishna being the most prominent. A tiny shop also sells statues of deities, religious books and related merchandise
Amritsar	Sun City	3.3	Situated on the Batala Road in Amritsar, Sun City Water Park is one is one of the most popular and visited water parks in the city. Replete with a plethora of water rides, regular rides, aqua dancing, roller coasters, several swimming pools, the water is the ideal hangout destination among both the adults and the kids.
Amritsar	Rainbow Resorts Water Park	3.3	Situated on the Attari Border Road in Amritsar, Rainbow Resorts Water Park offers multi activities. Spread over nine acres of land area, the resort has swimming pools, adventure park, go-karting, paint ball, kitty party hall, boating, restaurant etc.
Amritsar	Thunderzone Amusement and Water Park	3.3	Founded and opened to public in 2002, Thunderzone Amusement and Water Park is one of the largest  and most popular water cum amusement park in the city. With an array of rides like columbus, mono train, roller coaster, music bob, swinging chairs and activities like boating etc., the park is an ideal day out place for all age groups.
Amritsar	Bliss Aqua World	3.3	Bliss Aqua World is an amazing water park in Amritsar with a variety of regular and water rides both for adults and kids. The park also has an amusement park in the premises which has a number of fun games and activities as well.
Amritsar	Gurudwara Baba Deep Singh Ji	3.3	Located in Amritsar outside the Chatiwind gate is Gurudwara Baba Shaheed Deep Singh Ji, honouring the valour and martyrdom of Baba Deep Singh Ji, which is why it is also known as the Shahidan Sahib. He was specially renowned for his contribution during 1757 when he fought the Afghani troops led by Ahmed Shah Abdali, from attacking, invading, and blowing up the Golden Temple. He fought bravely alongside thousands of others but was fatally wounded during the fight.
Amritsar	Gurudwara Goindwal Sahib	3.3	Located in the Tarn Taran district of Punjab on the banks of river Beas is Gurdwara Goindwal Sahib which is another famous Sikh site. It is known as the 1st Sikh pilgrimage site and is where the 3rd Sikh Guru, Sri Guru Amar Das Ji, lived and preached for 33 years. It is also where he coined the idea of langar or community kitchen and where he built a baoli or well from where people of all caste, colour, creed and religion could drink from.
Nainital	Naini Lake	4.4	Naini Lake (short for Nainital Lake) is a beautiful natural fresh body lake. The lake is in crescent or kidney shape and is one of the most famous lakes of the Kumaon region. Famous for boating, evening walks and picnics, it offers a breathtaking view, especially during early morning and sunset.
Nainital	Eco Cave Gardens	3.6	Famous for its inter connected rocky caves, hanging gardens and the musical fountain, the Eco Garden are a set of six small caves in the shape of various animals. In the evenings, you can see the spectacle of the musical fountain with various audio video effects.
Nainital	Mall Road Nainital	3.6	The Mall Road of Nainital, which runs parallel to the Naini Lake, connecting the two ends of the hill town, is the prime shopping, food and cultural centre of the wonder that is Nainital. Whether it is digging into some luscious food or shopping for the cutest local woollens that are to be found, Mall Road is your go-to for it all.
Nainital	Naina Devi Temple	4.4	Regarded and revered as one of the fifty-one Shakti Peeths, Naina Devi Temple is one of the most renowned places of Hindu worship all over the country. The presiding deity of the Naina Devi Temple is Maa Naina Devi or Mata Sati. It is believed to have been built on the spot where Goddess Sati's eyes fell on Earth.
Nainital	Snow View Point	3.6	3 km off Nainital, Snow View offers an expansive and majestic view of the Himalayas. It also houses a quaint little local temple. You can take either the cable car, taxi or a trek up the undulating slopes.
Nainital	Nainital Ropeway	3.6	Nainital Ropeway is the most popular tourist attraction in Nainital and touted as one of the fastest ropeways in India. The aerial ropeway connects Mallital to the Snow viewpoint- from the base to a height of 2270 metres. It offers panoramic views of the breathtaking landscape.
Nainital	Tiffin Top	4.3	Tiffin Top is a very famous tourist attraction in Nainital, also popularly called as Dorothy's Seat. A fantastic picnic spot in its own right, one gets a complete view of the town of Nainital and its surrounding hills in the Kumaon region from this location. Adventure activities such as rappelling and rock climbing are also conducted here.
Nainital	Adventure Options	3.2	There are some adventure options available also in this area. During some seasons, paragliding opportunities are available. There are some nearby short trekking routes as well.
Nainital	Naina Peak	3.3	Also called the China Peak, this range located at a height of 2615 m is a challenging trek. The way up the slope is dotted with beautiful rhododendron bloom. From the peak you can view the Tibet Border and Nanda Devi Peak.
Nainital	Peora	3.3	Peora can be best described as a hidden gem. Nestled between the Kumaon Hills, it is serene and tranquil with natural beauty in abundance. There are a number of British Era bungalows that give this place a rustic vibe. The scenic beauty with snow capped mountains, juicy fruit laden trees, green meadows and a variety of fauna is inexpressible.
Nainital	Jeolikot	3.5	Known as the Gateway to Naini Lake, Jeolikot is a pristine hill station brimming with life, colors and butterflies. It is famous for its butterfly population along with its floriculture.
Nainital	Neem Karoli Baba Ashram	3.2	Dedicated to Shri Neem Karoli Baba, who was a Hindu saint and Guru and had a lot of devotees from all over the world. Steve Jobs had come to India in 1974 to become his devotee, though sadly he had passed away by that time.
Nainital	Himalayan View Point	3.2	5 km off Nainital, this locale offers views of the Himalayan Mountains and is located at 2300 m high.
Nainital	Land's End	3.3	Set across the Khurpa Tal and vast stretches of plains, the Land's End 4 km off the main town is dotted with quaint little hamlets and lush greenery. You can take a pony, horse or taxi from the city.
Nainital	Pangot	3.8	Located just 15 kilometres away from Nainital, Pangot is a small villagw which is well known all across the nation for its rich and exotic bird life. Pangot also becomes a hub for photography enthusiasts when hundreds of different species of birds flock here during the harsh winters in the upper Himalayas.
Nainital	Governor's House	3.3	Home to the popular golf course, the Governor's House is a Victorian Gothic edifice built in 1899 by designer F.W. Steven. It resembles the Castle of Scotland very closely and consists of two stories of buildings with 113 rooms, garden, swimming pool and of course, the golf-course.
Nainital	High Altitude Zoo	3.3	Established in 1984, Pt. G.B. Pant High Altitude Zoo or Nainital Zoo is situated on the Sher ka Danda hill in Tallital, Nainital. Perched at a height of 2100 metres and spread over an area of 4.6 hectares makes it the only one of its kind. The zoo is home to several endangered species and is a popular tourist spot.
Nainital	Hanuman Garhi	3.3	Perched atop 6,401 ft. high, the temple was built by a local saint Baba Neem Karoli in 1950 and is located close to Ashram of Bapu Lila Sah and Shitla Devi temple. It also offers a beautiful vista of sunrises and sunsets.
Nainital	Tibetan Market	3.3	Located in the vicinity of the Mall Road in Nainital, Bhutia Market is the most popular street market in the city. Besides an extensive variety of woollens and winter wears, the market is popular for its sumptuous Tibetan food. Roadside stalls and eateries sell mouthwatering thukpa and momos among other regional food items.
Nainital	Khurpa Taal	3.3	At a distance of 12 kms from Nainital, Khurpa Taal is a pristine lake situated at an elevation of 5500 feet. Laced with tall trees, the lake is considered ideal for fishing owing to its crystal clear waters and abundance of freshwater fish. Unexploited by tourists, the lake is a secret haven replete with bounteous nature and idyllic locales.
Nainital	Astronomical Observatory	3.3	Perched on top of the Manora Peak in Beluwakhan, Nainital, Astronomical Observatory helps you see the stars, celestial bodies, the moon and other heavenly bodies with the help of high powered, imported telescopes. The centre requires you to make prior appointment before visiting the place.
Nainital	Sariyatal	3.3	Located near Kaladhungi, Sariyatal is an artificial lake visited for paddle boating and water sports. It is also popular for the Himalayan botanical garden which is a research centre other than being a herbarium and a butterfly park.
Nainital	Himalayan Centre of Sri Aurobindo Ashram	3.3	Himalayan Centre of Sri Aurobindo Ashram aims at helping its visitors attain, peace, health and relaxation of mind through yoga and meditation. The ashram conducts regular workshops, talks, training programmes for stress management and regulating the lifestyle. Also known as Madhuban, the campsite is spread across 30 acres of fruit orchard.
Nainital	Gurney House	3.3	Gurney House is the former abode of Jim Corbett. The charming colonial cottage has a tiny museum with the achievements and life story of Jim Corbett. A quaint little nursery is also housed in the premises with a variety of shrubberies and plants. Even though the Gurney House is a private residence, tourists are welcome to visit by prior permission.
Nainital	St John Wilderness Church	3.3	Situated adjacent to the High Court of Uttarakhand in Mallital, Nainital, St John Wilderness Church is the oldest and one of the best churches in the hilltown. Perched atop a hill amidst beautiful pine and deodar trees, the church is constructed in Neo-Gothic style of architecture and has beautiful tainted glass windows.
Nainital	Sitabani	3.3	Covered with a huge number of Sal and Oak trees, Sitabani is situated at the foothills of Himalayas. The main attraction of this place is the myriad flora and fauna which makes the place look more colourful and lively. It is a perfect weekend getaway to unwind.
Ooty	Nilgiri Mountain Railway	4.5	Nilgiri Mountain Railway, also known as Toy Train in Ooty, is one of the key attractions of the popular hill station Ooty. Such is the train's popularity and history that it was declared as a World Heritage Site by UNESCO in 2005.
Ooty	Ooty Lake	4.4	Ooty Lake lies at a distance of approximately 2 km from Ooty city in the green hills of the Nilgiris district. The stunning lake is spread over an area of 65 acres, and its foundation was laid down by John Sullivan who was the collector of Coimbatore in 1824.
Ooty	Emerald Lake, Ooty	4.3	Emerald lake is an exquisite lake in the upper plateau region of the Nilgiri hills. It is a part of the silent valley and is beside the Red hill nature resort which is a best picnic place of the region.
Ooty	Ooty Botanical Gardens	4.3	The botanical Gardens of Ooty are one of the most sought after and famous tourist destinations in the whole of India. It is located on the hillock of Ooty which is one of the most popular tourist destinations in India.
Ooty	Ooty Rose Garden	3.7	Rose garden lies in the heart and soul of Ooty.The construction stays to be magnificent and there are small tunnels made wherein the roses are planted.
Ooty	Avalanche Lake	3.5	The Avalanche Lake in the Nilgiris District of Tamil Nadu is a famous tourist spot. Especially renowned among nature enthusiasts and photographers, the lake is set amidst a captivating landscape which is filled with lovely flowers. The waterfalls that fall down the nearby mountains further add to the beauty of the place.
Ooty	Dolphin's Nose, Ooty	3.3	This is a unique natural site where a protruding rock looks like a dolphin's nose! Climbing up to the spot might require some effort, but it is totally worth it! From this point, one can catch the breathtaking view of the Catherine falls hundreds of meters below and also of the Coonoor stream meeting the Kotogiri stream.
Ooty	Doddabetta Peak	3.5	Dodabetta, literally translating to mean - Big Peak, is located approximately 10 km away from Ooty. It towers to a staggering height of 8650 feet or 2,623 meters above the sea level and is the highest peak in the Nilgiri Hills. A treat to the eyes, this picturesque land is indeed a great sightseeing place.
Ooty	St Stephen's Church Ooty	3.0	The St. Stephen's Church in Ooty is indeed a marvellous and breathtaking architectural marvel located on the road to Mysore in Ooty. It is one of the earliest churches that you will find in the Nilgiris district. The structure dates back to the 19th century and was built by the British government.
Ooty	Thread Garden, Ooty	3.6	The thread garden at Ooty is a popular tourist spot that exhibits some of the most magnificent and exquisite collection of artificial flowers and plants, all made by the expert hands of the skilful artists by using JUST thread.
Ooty	Trekking in Ooty	3.3	Ooty, once the summer capital of the British in India, is bestowed with the bounty of nature. A favorite sport of the area, trekking has gained admiration with the tourists in the recent years.
Ooty	Kalhatti Falls, Bellikkal	3.8	Kalhatti falls is called as 'Bird Watcher's Paradise' as it gives you a bird point view of the whole valley. The lovely beauty and calm atmosphere of the place makes it the best for spending vacations and for short trips. Elephants visit this lake frequently which becomes a great sight for the travelers.
Ooty	Tiger Hill Ooty	3.3	One of the most mesmerizing destinations in Ooty is the Tiger Hill. This exotic spot lies to the east of the hill station and towards the lower end of the Doddabetta peak.
Ooty	Kotagiri, Coonoor	3.8	This is one of the oldest hill stations of the Nilgiris. It is a village in the middle of mind blowing tea plantations. The lush green surrounding and extremely quaint atmosphere makes Coonoor an amazing place to visit.
Ooty	Kamraj Sagar Lake	3.3	Kamraj sagar lake is a dam and is located in the suburbs of Ooty. It is located far away at a distance between the woodlands and thus make an amazing picnic spot.
Ooty	Annamalai Temple	3.3	Annamalai Temple is a situated about 20 km away from Ooty. This place has with time turned into as a famous temple of Lord Muruga, known as 7th Hill house of the lord.
Ooty	Droog Fort, Coonoor	3.3	Droog Fort is located in the area surrounding Coonoor. A trekkers delight, one must undertake some by foot traveling to reach this destination. This old and worn out fort is located 6,000 ft above the plains.
Ooty	Lamb's Rock, Coonoor	3.3	A popular picnic spot in the region, this place is consistently visited by tourists. The view from this spot is spectacular and a major crowd puller! It is possible to see the Coonoor stream some 5000 feet below. This vantage point also provides you with an excellent view of the Coimbatore plains.
Ooty	Simi's Park, Coonoor	3.3	An extremely pretty botanical garden - a rare but beautiful sight in the region - was developed back in 1874 by Mr. J.D. Sims and Major Murray. There is an annual fruit and vegetable show that is held in the park that is well attended.
Ooty	Catherine Falls, Coonoor	3.3	Catherine Falls, also known as St. Catherine's Falls, is situated in the area that surrounds Coonoor. This magnificent waterfall falls from an impressive height of 250 feet.
Ooty	Upper Bhavani Lake	3.0	The Upper Bhavani Lake is a mesmerising and breathtaking lake that is located above the Avalanche Area in the Nilgiri Hills. This beautiful lake, which was previously ignored and consequently unexplored, is now gaining some popularity and credit for its charming beauty and picturesque scenes.
Ooty	Bison Valley, Bellikkal	3.2	Bison Valley gained its name from the Indian bison that roams throughout this area. Splendid views of the cardamom forests and momentous possible from this beautiful valley.
Ooty	Pykara Lake	3.5	Pykara Lake has everything that a person on vacation can ask for, right from ambience and comfort to scenic beauty. Nature lovers, photographers and adventure seekers should definitely not miss out on this unique and fun-filled place.
Ooty	Wenlock Downs	3.5	Wenlock Downs is a famous picnic spot in the outskirts of Ooty. People seeking a spot to escape the polluted environment and the world of concrete often head to this attraction. At Wenlock Downs, they find a vast expanse of lush green meadow over the natural landscape with rolling mountains all covered in dense vegetation.
Ooty	Thunder World	3.5	Thunder World is a themed amusement park in Ooty. Also known as Dinosaur Park, it is famous amongst the young and the old who visit to get a feel of going back into the past and experiencing illusions or witnessing the world of spirits. The park is divided into themed sections – the Jurassic Jungle, the Vortex and the Haunted House.
Ooty	Ketti Valley View	3.5	Located at a distance of 4 kms from the Ooty Bus Stand on the Ooty Coonoor road, Ketti Valley View is a popular vantage point in Ooty. Boasting of utter tranquillity and surreal setting, the place offers mesmerising views of the resplendent valley below with gushing waterfalls, meandering streams and flourishing wildlife.
Ooty	Cairn Hill	3.5	Situated in the hill town of Ooty, Cairn Hill is an eco-tourism and a reserved forest site which came into existence in the 1860s and sprawls over a massive area of approx 168 hectares.
Ooty	Adam's Fountain	3.5	Adam's Fountain is a gorgeous fountain situated at the Charring Cross junction in Ooty. The fountain was built in 1886 as a memorial to the then Governor of Ooty. The cost of the total construction was between INR 13,000 and INR 14,000 and was collected through public funding. It is a very important tourist landmark in the city.
Ooty	Elk Hill Murugan Temple	3.5	Perched atop the Elk Hill in Ooty, amidst picturesque backdrop and a resplendent setting, Elk Murugan Temple is a revered Hindu temple enshrined by Lord Muruga. Besides the gorgeous landscape and astounding panoramic vistas, the hill also boasts of rich and flourishing wildlife and bounteous nature.
Ooty	Wax Museum Ooty	3.5	Located at a distance of just 1 km from the Ooty Railway Station, the Ooty Wax Museum is one of the top places to visit of the place and is housed in a 130 years old charming colonial mansion. Besides, the museum also houses full depiction of the life of a rural household. There are sites where you can see Indian potters and villagers doing pottery and farming, cultivating etc.; all carved out in wax.
Ooty	Kandal Cross Shrine	3.5	Situated on the outskirts of Ooty, Kandal Cross Shrine is a beautiful church popularly known as the Jerusalem of the East. The church houses a life size bronze crucifix and a relic in a small glass case which is believed to be from the original cross that Christ carried. Sacred prayers are offered every Friday.
Ooty	Stone House Ooty	3.5	Stone House in Ooty is famous for being the first bungalow in the town. Also known as Kal Bangala in Tamil, it was built in the early 19th century by John Sullivan, an Englishman, the first Collector of Udhagamandalam and the founder of the British Settlement in Ooty.
Ooty	Government Museum	3.5	The Government Museum in Ooty was built in 1989 to maintain and promote the culture of Ooty in the form of exhibits and information. The attraction houses an extensive collection of the culture, history, the tribes, tribal objects, sculptures, paintings, handicrafts, nature and the ecology of Udhagamandalam.
Ooty	Pykara Falls	3.5	Pykara Falls are set amidst the backdrop of a lush green forest and are an absolute delight to witness. Pykara is the name of a village which lies at a distance of around 19 kms from Ooty, in the state of Tamil Nadu. It is also the name of a river which runs through the Pykara village, which is sacred to the natives of this land. The Pykara river flows downstream from the mountains, over a series of waterfalls, and these are known as the Pykara falls.
Ooty	Children's Park	3.5	Children's' Park in Ooty is one of the most prominent and popular parks of the city. Blanketted in a lush green grassy carpet, the park has several rides and swings for children. In addition to that, the park also facilitates boating, rowing and horse riding etc as recreational activities.
Ooty	Lake Park Ooty	3.5	Lake Park in Ooty is situated adjacent to the Ooty Lake. Adorned with vibrant flowers and a glossy green carpet, the park is a hot spot for leisure evenings and sunbathing. It also has dinosaur statues and entertaining games for kids.
Ooty	Katari Falls	3.5	Known to be the third highest waterfalls in the Nilgiris, the mesmerising Katari Falls is situated at  Adikarratti in Ooty, 10 kms from Coonoor. Boasting of a magnificent height of 180 m, the silvery water gushing down to form a pool at the base is also a popular picnic spot in the region.
Ooty	Halashana Falls	3.5	The very beautiful and mesmerising Halashana Waterfalls are located in the Nilgiris near the cities of both Ooty and Coonoor. The silvery water falls down a height of 150 feet above the sea level. The area around the falls is owned by a private estate.
Ooty	Tea Factory	3.5	Ooty Tea Factory or Tea Museum is situated on the Doddabetta Road in Ooty. Surrounded by emerald green tea plantations, the museum takes you on a tour of tea evolution from the origin to the present. It has a variety of preserved tea leaves on display. It also has an adjacent souvenir shop where you can try and buy various kinds of tea leaves.
Ooty	Shopping in Ooty	3.5	When in the hill town, market browsing for traditional homemade chocolates is one of the top things to do in Ooty. You can try and buy these at the Main Bazaar. Besides that, you can shop for apparels and woollen clothes at the Tibetan Market and spices at the Upper Bazaar Road.
Ooty	Honey & Bee Museum	3.5	Honey & Bee Museum is situated on the Sargan Villa Club Road in Ooty and aims to provide in depth knowledge about the anatomy of a bee and the manufacture of honey from its nascent stage. The tour is a very informative one. And while the other things are common to most hill stations, a tour in this museum is unique and among the most unique things to do in Ooty.
Ooty	Ooty Flower Show	3.5	The Ooty Flower Show is an annual event which is held in the Ooty Botanical Gardens. Often referred to as ‘The Showstopper of the South’, the Ooty Flower Show has been successfully setting the bar to grasp the global trends in floriculture for the past 123 years.
Hyderabad	Charminar	4.3	An identifying feature of the city, Charminar is the most prominent landmark of Hyderabad. It was erected by Quli Qutub Shah to signify the founding of Hyderabad. Everyone coming to the city, definitely visits the Charminar. It is also famous for the market that sprawls around it and is called 'Laad' or 'Chudi' Bazaar.
Hyderabad	Ramoji Film City	4.2	Located on the outskirts of Hyderabad, Ramoji Film City is certified as the World's largest Film Studio Complex by the Guinness Book of World Records. spread over 2500 acres, it can accommodate 20 film units at one go. One can reach Ramoji Film City through a number of packaged tours and buses that leave regularly from the city.
Hyderabad	Golconda Fort	4.3	Golconda Fort is a massive fortress whose ruins stand proudly even today displaying the glory of its rich past and some untold sagas of the city's history. It is reputed for being the area where once, the mighty Koh-I-Noor diamond was stored. In the evening, Golconda Fort comes to life with the light and sound show.
Hyderabad	Hussain Sagar Lake	4.3	Hussain Sagar Lake is one of a largest man-made lake situated in Hyderabad. Renowned for its monolith of Lord Buddha placed right at the center of the lake, the place is famously known as a Tank Bund, a popular spot of tourist attraction.
